Rating;Title;Review;Author;Date;Link;Expected Feature;Polarity
4.0 out of 5 stars;So hard to find a place to fix it in ohio;Great phone so mad I dropped it in the second week of getting it.;Marcus C.;22-Apr-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone;1
5.0 out of 5 stars;Just like the Z3v, but faster and smoother;"So far, absolutely incredible phone. SMS and MMS along with calls will not work on verizon until you activate HD voice on your account. I activated this through the my verizon app, and was up and running immediately.

The compact is a minor adjustment for me, as I upgraded from the Xperia Z3v, and the smaller phone is not ideal to type on with my obnoxiously large fingers. I think with a little re-training it won't be much of an issue.

If you're one of the remaining Z3v users left like I was that didn't want to give up your Sony for one of the major brands, this is definitely a seamless transition.";Pyro;27-Jul-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,verizon,phone;1,2,0
5.0 out of 5 stars;Great Small Phone!;I've been looking for a phone to replace my Samsung S4. This phone is perfect for me. I have ATT as my provider, and I could never find a small phone through their stores. I read lots of reviews and decided to take a chance ordering it through Amazon sight unseen. The only issue I had was that my SIM card was too big for this phone. I took it in to ATT and they replaced the Sim for $5. They also showed me how to move my contacts with ATT mobile, but I used the Xperia Transfer App, and it moved info with no problems. I'm still learning all the features, but I already know I love the fingerprint unlocking and the camera button. Super happy with my purchase!;K_Weir;13-Aug-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,phone,fingerprint,purchase,button;0,1,2,1,1,1,2
5.0 out of 5 stars;Amazing Phone;"This is my favorite phone of all time. Incredibly fast hardware, excellent and sturdy build quality, fantastic shape for one-handed use, great audio, and the Sony UI is lightweight and snappy. I switched to this from a Galaxy Note and I don't miss the bigger screen at all.

This phone won't work with Sprint, so I took it to a Verizon store and made the switch. We had some trouble getting the phone to work at first (couldn't make calls) -- but the solution was to have them enable HD Voice on my Verizon account (no extra charge).";Amazon Customer;16-Jun-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,sony,screen,phone,verizon,phone;1,1,1,2,2,2
5.0 out of 5 stars;Best phone I've bought in a long long time;As a huge techie I've been jumping from Android to Android for that last several years looking for a phone that did not compromise.  After my pixel 1 died I decided to go for this awesome gem after seeing multiple reviews.  I could not be happier.  After several months my battery life still lasts over a day, the pictures are beautiful (not as awesome as a pixel, but not bad by any means) and fast and snappy.  I don't know why don't doesn't market or advertise their phones in America but they should.  The smaller size of the compact hits the hand in all the right places and makes one handed operation a breeze.  I'm over the giant phone trend, and this phone was the cure.;Bryce W;25-Jan-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,battery,day,picture,phone,phone,phone;2,1,2,1,2,2,2
4.0 out of 5 stars;Lose feel.;Love the phone size. Owend it for about a year. I can put my phone in any pocket and never noticed it was there. Con the back is rounded. And I have dropped this phone more times than any phone I owned. And that's dating back to 1999. And how small the phone is I wish I could get more life. Playing games, watching videos and surfing the web will last me a day. Hope this helped.;ernesto alonzo;10-Mar-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,time,phone,phone,phone;1,2,2,2,2,2
5.0 out of 5 stars;Stellar and Right-Sized Smartphone;"This phone has exceeded my high expectations.  This is my second Sony Xperia (had Z3 for 4 years, which I found an amazing phone), and am glad I stuck with it.  There is definitely a simple/clean/sleek theme to my preferences (Volvo, ASUS, Ecco, etc), and that might put into context my appreciation of the Sony Xperia series.

Perfect size and weight for my purposes, solid build, demonstrably waterproof, crisp and sharp display, lightning-fast processor, great camera (I prefer using SLR for anything important), cleanly moderate features and installed apps, and nearly everything is customizable (e.g. you can remove nearly every icon at the top).

I personally do not mind the move to remove the audio jack, as I understand why, and the lack of T-Mobile Voice-over-WiFi or Voice over LTE an issue -- that feature seemed less clear than standard cellular connection anyway.

Also, after hearing concerns with the US-model, I was pleasantly surprised to see that the fingerprint reader works, and flawlessly.  And I personally like the placement just fine, works well with how I hold it, either hand.

Bottom line:  My household has had 6+ iPhones, a Samsung Galaxy, a Motorola, and 2 Sony Xperias.  I would call this Sony Xperia XZ2 Compact my favorite of all time, while my family members would probably say it ties with the current iPhone.";W.e.W;2-Aug-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,sony,phone,sony,processor,camera,feature,jack,connection,fingerprint,sony,xperia,sony;2,2,1,2,1,1,2,2,2,1,2,2,2
1.0 out of 5 stars;Can’t get to work on Verizon/Phone is not at all what is promised;Despite reviews saying otherwise and it supposedly being certified on Verizon, I had a lot of problems with this phone. I could call and send texts but couldn’t receive them. Spent hours on the phone with Verizon, still couldn’t get it to work. Sony’s customer service is complete joke, so don’t even bother. On top of that, the phone kept telling me it needed a system update, so I’d install it and then it would tell me to restart the phone, so I’d restart it, but then it’d tell me I still needed to install the update. Went through this process four times and on the fifth attempt at installing the update I gave up. Also very strange looking and grainy photos for camera that is supposedly 19 mp. Also at first i thought I’d like the fingerprint scanner on the back but when you’re driving and you have the phone in a holder, the position makes it very awkward to unlock it. I really wanted to like this phone because the size is so perfect, but ultimately this phone was a huge let down.;Walter Huxley;8-May-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,phone,phone,size,phone;0,1,2,2,1,1,2
4.0 out of 5 stars;Best small phone, no headphones jack, great display, surprisingly fast updates by Sony, a bit pricey.;"Ultimately, how one rates this phone depends very much on the answer to one question: how badly do you want a top of the line compact phone? If you must have the best small phone, look no further. Otherwise, read on and see if this is the phone for you.

This phone works on Verizon, as well as AT&T and T-Mobile. It does not work with Sprint. According to what I can find online, it should be fully compatible with most LTE networks in Asia and Europe, with exceptions being Japan (partial compatibility) but I won't be able to test this till later this year. It only supports 1 SIM (despite Sony's official page claiming dual SIM).

Many people compare this phone with the Pixel 2, but this phone is actually smaller (but thicker). While both have 5"" screens, the Sony not only has smaller bezels, it also has a 18:9 form factor (and yes, that's 2:1). As a result, the phone is noticeably smaller - and has about 6% less screen area. Compared to a 16:9 ratio screen, it's actually very close in width to a 4.5"" screen. In fact, it is quite close in size to a Nexus Galaxy from years ago. I'd forgotten how nice a small phone fits into my hands. It is also quite thick, significantly thicker than the Pixel 2.

With the latest Snapdragon 845 SoC, this phone has performance comparable to the latest flagships from other manufacturers such as the Samsung Galaxy S9 and OnePlus 6. The Pixel 2 has the 835 from last generation - still a decent performer. It has 4GB of RAM and 64GB of storage. You can also add a microSD card of up to 400GB to store photos, videos, and media files.

Let's start with what it does NOT have compared to other top of the line phones.

First, and most distressing, it does not have a 3.5mm headphones jack. This is the first phone I've used that lacks it, and I'm quite unhappy about it. Sure, a dongle is included, but it is one extra item to lose, and you cannot charge while listening at the same time (Sony sells an adapter that supposedly can do that, but I can't find it for sale anywhere, and it only supports slow charging).

Next, the back is plastic. It actually feels quite nice and doesn't come across as cheap, but I was surprised.

It also lacks an OLED screen for the deep blacks. Having a couple of OLED screens with burn-in issues, I don't necessarily think of this as a disadvantage. The screen has great colors and is more than bright enough to use in full sun.

The camera is quite good, but does not have dual lens with telephoto, and doe not have OIS.

Finally, it lacks wireless charging. This is quite puzzling considering that the back is plastic. I guess Sony doesn't want to sacrifice battery capacity or make the phone even thicker in order to add wireless charging.

It does have: dust and water resistance of IP65/68, Qualcomm Quick Charge 3.0 (with AC adapter included), 1080p resolution display, and a whole array of other features that you expect in phones of this class so I won't bore you by listing them.

In use, the phone is extremely responsive and there's no lag whatsoever. It performs very well running games as well. Pokemon Go runs about as well as can be expected. GPS appears to be as accurate as can be expected. Sony's skin is fairly close to stock Android. The most glaring difference is the app drawer. Instead of a continuous list that scrolls from top down, you have a number of pages that you go through from left to right. Sony appears to push updates very quickly. I was pleasantly surprised to get the June security patch in the first half of June, way before my other phones (including the Xiaomi Mi A1, an Android One phone).

Ergonomically, the phone fits in my hand VERY comfortably. It seems to be designed for holding in the right hand, with all the buttons on the right side of the phone (volume, power, and camera). It would be nicer if the fingerprint sensor is positioned higher, but it's not too bad. It takes less than a second for the fingerprint sensor to recognize my fingerprint, and it appears to work very well. My OnePlus 3T's fingerprint sensor seems to work slightly faster, but this is no slouch.

One quirk that I don't like with this phone is that when you open the SIM + microSD drawer (just pull it out with your fingernails, no need for special tools or a straightened paper clip), the phone reboots. While most people probably don't change SIM cards all that often, this makes it inconvenient to swap out the microSD card.

The built in speakers are not bad, above average for a phone, but you can only get so much performance out of such tiny speakers. The camera is pretty good (but lacks optical stabilization). I'm not going to go into great depths here, but the photos are almost as good as a Pixel 2 under most situations.

The phone comes with a fair amount of bloatware that can be disabled but not uninstalled completely. These include a suite of Amazon apps, Sony's software, and AVG Antivirus. Out of 64GB of storage, about 44GB is free.

In conclusion, how you like this phone ultimately comes down to size. If you really want a small phone, this one has very few compromises. You can get better specs (except for water and dust resistance) with something like a OnePlus 6, but it's significantly larger. I'd give it 5 stars if only it came with a headphones jack.";Lenny;19-Jun-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,phone,phone,phone,phone,performance,photo,video,phone,sony,camera,battery,phone,phone,phone,sony,phone,phone,fingerprint,fingerprint,fingerprint,fingerprint,phone,speaker,phone,performance,camera,sony,phone,size,headphone;2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,0,2,0,1,2,2,2,2
1.0 out of 5 stars;Sony Customer Service = D-;(My phone fried after 5 months.) Upon inquiring about the status after 2 weeks, I found myself talking to someone in South America, and they can only tell me what was on their computer screen. It seems like they didn't have much to go on. The inquiries using their website tell you nothing and are insulting. Impersonal, lack-luster customer service. Possibly the last Sony product that I'll ever buy.  Update 5/23/19 - They've had my phone going on 2 months. They had to order a mother board? They're the manufacturer! Why should it take this long? They should just replace the damn thing. I don't get it. Whatever happened to customer service?;Reagal;29-Apr-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,screen,sony,phone,service;2,0,2,2,2
1.0 out of 5 stars;No match for iPhone SE;I have been an iPhone user since I got my first iPhone (2nd gen) all those years ago. Time and time again I return to Apple after trying to convert to android. I wish the iPhone had better colors so this green was the key selling point for me. Other than that, I wasn’t impressed by the android / Sony phone. The phone kept trying to install software updates every 3 mins or so. I’ll stick with my iPhone SE.;Chance Myers;7-Jan-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;sony,phone,phone;2,2,2
4.0 out of 5 stars;Nice size. Wish It Was A Tad Thinner And Lighter;I do like this phone and the green color. It is a slightly darker green than what I saw in the pics. But that's ok. Green is my favorite color. I bought a case for the phone not only to protect it but because the phone is very slippery and easy slides about in my large hands. It was always on my mind that the phone would slide out of my fingers and onto the floor. But the case I bought solved that problem. I really like the dedicated camera button. The camera comes on in an instant just by me feeling for the button. No more focusing on the screen and finding the camera button to touch. The power button is below the volume button and easy enough to find and get used to. I've read some reviews make a comment that the finger print reader is positioned more towards the middle of the back on the phone. I found that no big deal. I'm not a phone reviewer and found it easy enough to get used to. Plus a case make it easier to find the sensor. It is a heavier and thicker little phone. I guess if there is anything I don't care for it's that. I'd give this phone 5 stars if it was thinner and lighter. Speakers sound great. Fast snappy phone.;underdog2904;11-Jun-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;color,phone,phone,phone,camera,button,camera,button,camera,button,button,button,phone,phone,phone,phone,phone;1,0,0,2,1,1,2,2,2,2,2,1,1,0,2,0,0
5.0 out of 5 stars;Switched from iPhone to Android for this phone only!!;"I really enjoy this phone. I had been using an apple product for the last 7 years and decided I wanted something different. After months of research and I settled on this phone. I loved the form factor, specs sheet, and it's abilities. After a month+ with this phone I have no regrets. I wish that this phone would have shipped with the USB Type-C™ 2-in-1 Cable EC270.

Sony and Verizon need to work together to make more Xperia phones Verizon compatibly. I would highly recommend Sony phones to all my family and friends.";Eric Prickel;6-Aug-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,phone,sony,phone,sony,phone;1,1,2,2,2,2,1,2
5.0 out of 5 stars;Best phone I have had in years!;This is the best phone I have had since the Samsung alius 2! Brand new I was getting  three days of use per charge! After getting some apps that has decreased to about 2.5 days. I live in a deadzone I don't get much signal. That would sap my previous phone dry. This phone seems unaffected. In better areas with better signal I imagine the battery life to be better. The fingerprint reader works perfectly and the entire phone is customizable down to the keyboard. The glass is more durable than the frame. I dropped it on its face without a case onto wet concrete from about 3 feet twice and the screen is still perfect... No I was not doing a review video. There is sadly no headphone jack but it's not really needed and helps to further waterproof the phone. Comes with a headphone jack adapter and a terrible pair of headphones. The charging port is USB-c while the port doesn't seem to be as sturdy as I like it has proven stronger than the headphone jack the dozen or so times I have accidentally yanked out my headphones. It is a Sony phone so it pairs nice with other Sony products.;Iconfan82;17-Dec-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,battery,fingerprint,phone,frame,glass,phone,headphone,headphone,headphone,headphone,sony,phone,sony,-;1,2,2,2,1,1,1,1,2,2,0,1,2,2,2,1,2
3.0 out of 5 stars;Verizon Users: Turn on HD Voice via MyVerizon Webapp.;"For verizon users: Make sure you have HD Voice activated. You do this via your account online. For whatever reason my phone was not receiving texts or calls. Adding HD voice (free Verizon service) fixed it.

The rest of this is some barely thought out first impressions. The former was the only important thing I came here to say since Verizon chat support was useless and I fixed the problem myself.

Gut reaction is damn its heavy and I like the size of my Nexus 5X more. A lot of content was already slightly too small on the nexus screen. The phone just seems bulky(width and weight). That being said I can reach everything on this device one handed without stretching. That is big! or small.. whatever..

YAY microSD cards! Stop pushing me into the cloud!

Boo no headphone jack. I know they make IP68 rated phone jacks, lazy designers. lol. They box should have come with a dongle that has type C and headphone connections. For now I am getting around the issue by using a blue tooth receiver for my good headphones.

It is frustrating that the LED flashlight is very dim, borderline useless, and there are no settings to fix it. It requires a new flashlight app. I get that it is a built in safety feature so it doesn't overheat the phone but it is so dim and useless. The only good scenario I see is if you're at a restaurant and don't want to blind people while you try and look at the menu up close.

Im bored now. Just turn on HD Voice.";Will;3-Jul-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;verizon,verizon,verizon,size,phone,headphone,phone,headphone,headphone,phone;2,2,2,2,2,2,0,2,1,0
5.0 out of 5 stars;Buy it :);Really comfortable to hold as it has a curve at the back. Size is super as you can carry it in your pocket. But it is quiet heavier than my former phone, z3 compact. I do not know if it is because of my excessive usage for the first excitements or not, but if you do not open the stamina mood, the battery is just for a day. However I opened evey possible energy consuming things all the day and with all functions battery takes 1 day. For tomorrow I will try it with the energy saving modes and extra precautions to see where it stands.;Dilara;1-Oct-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,energy;2,2
1.0 out of 5 stars;Verizon does not support this phone anymore;Wasted money and time on this incorrect listing.;Steven D. Sundbeck;22-Dec-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;time;0
5.0 out of 5 stars;Great phone.;The phone is fast.  Takes great pictures.  The battery goes fast, but I use some high consumption programs. The battery charges fast. I used this to upgrade from the Xperia Z3V.;Kevin James;18-Nov-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,picture,battery,battery;1,1,1,2
1.0 out of 5 stars;Original Accessories Not Included;The description states it will come with original accessories. I received a Micro USB adapter which doesn't even fit the phone so I can't eve charge or use the phone. Amazon can't give me an original Sony power adapter and cable that fits so I'm returning the phone. This was a gift for my wife, now it's turned into a refurbished disappointment.;Daveneo6;11-Nov-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,sony,power,phone;0,2,2,2,2
1.0 out of 5 stars;One Star;This is not dual sim as advertised. Amazon - please review the product.;Aaron J.;18-May-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;product;2
5.0 out of 5 stars;Better than big dogs;"I have been a loyal Samsung phone person since the S3. I have had 2 S models, 2 different Actives and 2 different Notes, the most recent the Note 8.  Two things bothered me about the Samsung.  First the battery life kept getting shorter and second, the Samsung Software that was all over the phone.

I made the decision to go to a smaller phone and the Sony Experia XZ2 Compact was the smallest flagship I could find.  This phone addressed both my Samsung complaints.  First of all the battery life is far and above better than Samsung.  I think this is because of the combination of the smaller screen size and fewer apps running in the background.  I am a heavier user and I still only run down to 40% by the end of the day.

Second is the android experience.  This is much more like the Nexus phone I had a few years ago.  It doesn't have Bixby or Samsung cloud and other apps running in the background.  It lets you use what you want and doesn't force anything else on the user.

The fact that this phone is a 5"" model makes it pocket friendly but the screen is large enough to be functional.  It was only a few years ago that this was the standard size before the Phablets took over.

I recommend this phone and can assume that the full size version is equally as good.";John Collins;3-Jan-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,sony,phone,battery,size,phone,size,size;2,2,2,2,2,2,2,2,2,1
4.0 out of 5 stars;Yes it works on Verizon;Yes. It works on Verizon. You need a new SIM card. Verizon reps don't know. Spent two three hours and they had told me to retutn this phone. I asked them to try a new SIM card.. Not a deal from an be old phone and everything worked.;Lumia555;29-Dec-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;verizon,verizon,phone,phone;2,2,2,1
1.0 out of 5 stars;camera quality;amazon review reviewers did not allow an objective review of this product.;Amazon Customer;1-Sep-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;product;2
5.0 out of 5 stars;I like this phone;I usually set out with very specific criteria for new phones (i.e. small, no bigger than 5 inches), so not very many fit the bill these days. This phone is great, has a wonderful camera, fingerprint sensor has been working without issue, phone doesn't generally run hot but occasionally does. It is quite immensely thick. Screen is nice and fingerprint/smudge resistant as much as it could be. Speakers are good as well. Battery life has been meeting expectations. Only other thing I will say is that I often put my finger on the camera when I'm trying to put it on the fingerprint sensor...;Tiffany;14-Oct-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,camera,fingerprint,phone,fingerprint;2,1,1,0,2
